LOCATION CODE,SAMPLE TYPE,SAMPLE LOCATION,SAMPLING FREQUENCY,SAMPLING DATE,ISOTOPE NAME,VALUE,UNITS,GRAPH VALUE,COMMENT
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-08-31,TRITIUM (HTO),<110,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-08-31,GROSS ALPHA,1.3+/-1.8,pCi/L,1.3,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-09-02,IODINE-131,<6,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-09-02,GROSS ALPHA,2+/-3,pCi/L,2,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-09-02,TRITIUM (HTO),<110,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-09-02,GROSS BETA,4+/-2,pCi/L,4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-09-02,GROSS BETA,22+/-2,pCi/1000M3,22,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-09-10,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-09-10,GROSS BETA,24+/-2,pCi/1000M3,24,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-09-17,IODINE-131,<4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-09-17,GROSS BETA,15.5+/-1.7,pCi/1000M3,15.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-09-24,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-09-24,GROSS BETA,14+/-1.6,pCi/1000M3,14,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-09-30,GROSS ALPHA,<0.8,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-09-30,TRITIUM (HTO),<110,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-09-30,GROSS BETA,3.2+/-1.6,pCi/L,3.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-10-01,IODINE-131,<1.5,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-10-01,GROSS BETA,1.6+/-1.7,pCi/L,1.6,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-10-01,GROSS ALPHA,5+/-3,pCi/L,5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-10-01,GROSS BETA,9.2+/-1.2,pCi/1000M3,9.2,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-10-01,TRITIUM (HTO),<110,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-10-08,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-10-08,GROSS BETA,9.2+/-1.3,pCi/1000M3,9.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-10-13,IODINE-131,,,,no charcoal cartridge collected
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-10-13,GROSS BETA,14.2+/-1.9,pCi/1000M3,14.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-10-22,IODINE-131,<1,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-10-22,GROSS BETA,10.8+/-1.2,pCi/1000M3,10.8,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-10-30,TRITIUM (HTO),<90,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-10-30,GROSS BETA,3.3+/-1.6,pCi/L,3.3,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-10-30,GROSS ALPHA,4+/-3,pCi/L,4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-11-05,IODINE-131,<0.7,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-11-05,GROSS ALPHA,2+/-3,pCi/L,2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-11-05,GROSS BETA,10.1+/-1,pCi/1000M3,10.1,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-11-05,GROSS BETA,3+/-2,pCi/L,3,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-11-05,TRITIUM (HTO),<100,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-11-10,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-11-10,GROSS BETA,13.4+/-1.8,pCi/1000M3,13.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-11-18,IODINE-131,<4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-11-18,GROSS BETA,16+/-1.6,pCi/1000M3,16,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-11-30,GROSS ALPHA,3+/-2,pCi/L,3,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-11-30,TRITIUM (HTO),<100,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-11-30,GROSS BETA,3.8+/-1.7,pCi/L,3.8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-03,IODINE-131,<3,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-12-03,TRITIUM (HTO),<100,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-12-03,GROSS BETA,3+/-2,pCi/L,3,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-03,GROSS BETA,10.6+/-1,pCi/1000M3,10.6,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2015-12-03,GROSS ALPHA,<1.7,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-09,IODINE-131,<5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-09,GROSS BETA,22+/-2,pCi/1000M3,22,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-17,IODINE-131,<6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-17,GROSS BETA,18.7+/-1.8,pCi/1000M3,18.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-23,IODINE-131,<4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-23,GROSS BETA,11.6+/-1.5,pCi/1000M3,11.6,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-30,IODINE-131,<1.9,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2015-12-30,GROSS BETA,9.2+/-1.3,pCi/1000M3,9.2,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-12-31,GROSS ALPHA,1.1+/-1.5,pCi/L,1.1,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-12-31,TRITIUM (HTO),<100,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2015-12-31,GROSS BETA,2.5+/-1.4,pCi/L,2.5,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-01-06,IODINE-131,<1.7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-01-06,GROSS BETA,17.9+/-1.9,pCi/1000M3,17.9,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-01-14,IODINE-131,<9,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-01-14,GROSS BETA,<1.9,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-01-14,GROSS BETA,11.5+/-1.4,pCi/1000M3,11.5,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-01-14,TRITIUM (HTO),<100,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-01-14,GROSS ALPHA,<0.17,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-01-21,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-01-21,GROSS BETA,11.7+/-1.5,pCi/1000M3,11.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-01-28,IODINE-131,<1.5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-01-28,GROSS BETA,2.4+/-0.3,pCi/1000M3,2.4,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-01-29,TRITIUM (HTO),<100,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-01-29,GROSS ALPHA,<1.7,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-01-29,GROSS BETA,1.8+/-1.4,pCi/L,1.8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-02-03,IODINE-131,<6,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-02-03,GROSS BETA,11.7+/-1.5,pCi/1000M3,11.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-02-11,GROSS BETA,9.8+/-1.2,pCi/1000M3,9.79999999999999,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-02-11,IODINE-131,<3,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-02-11,TRITIUM (HTO),<120,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-02-11,GROSS BETA,<1.9,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-02-11,GROSS ALPHA,<3,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-02-18,IODINE-131,<0.3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-02-18,GROSS BETA,8.7+/-1.2,pCi/1000M3,8.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-02-24,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-02-24,GROSS BETA,10.7+/-1.5,pCi/1000M3,10.7,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-02-29,TRITIUM (HTO),<100,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-02-29,GROSS ALPHA,1+/-2,pCi/L,1,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-02-29,GROSS BETA,1.7+/-1.5,pCi/L,1.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-03,IODINE-131,<0.5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-03,GROSS BETA,10+/-1.3,pCi/1000M3,10,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-10,IODINE-131,<4,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-03-10,GROSS BETA,<2,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-10,GROSS BETA,10.1+/-1.3,pCi/1000M3,10.1,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-03-10,GROSS ALPHA,<1.2,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-03-10,TRITIUM (HTO),<100,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-17,IODINE-131,<0.3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-17,GROSS BETA,4.6+/-0.9,pCi/1000M3,4.6,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-23,IODINE-131,<2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-23,GROSS BETA,9.4+/-1.4,pCi/1000M3,9.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-31,IODINE-131,<1.7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-03-31,GROSS BETA,9.8+/-1.2,pCi/1000M3,9.79999999999999,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-03-31,GROSS BETA,2.3+/-1.5,pCi/L,2.3,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-03-31,TRITIUM (HTO),<80,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-03-31,GROSS ALPHA,<0.11,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-04-07,IODINE-131,<3,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-04-07,GROSS ALPHA,<1.3,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-04-07,GROSS BETA,12+/-1.5,pCi/1000M3,12,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-04-07,GROSS BETA,1.6+/-1.7,pCi/L,1.6,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-04-07,TRITIUM (HTO),<80,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-04-13,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-04-13,GROSS BETA,9.2+/-1.4,pCi/1000M3,9.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-04-28,IODINE-131,<1.8,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-04-28,GROSS BETA,12+/-1.1,pCi/1000M3,12,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-04-29,GROSS BETA,1.6+/-1.5,pCi/L,1.6,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-04-29,TRITIUM (HTO),<77,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-04-29,GROSS ALPHA,1+/-1.6,pCi/L,1,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-05-05,IODINE-131,<1.9,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-05-05,GROSS ALPHA,1.2+/-1.9,pCi/L,1.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-05-05,GROSS BETA,6.4+/-1,pCi/1000M3,6.4,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-05-05,TRITIUM (HTO),<77,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-05-05,GROSS BETA,1.4+/-1.7,pCi/L,1.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-05-12,IODINE-131,<8,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-05-12,GROSS BETA,4.8+/-0.9,pCi/1000M3,4.8,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-05-19,IODINE-131,<0.5,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-05-19,GROSS BETA,7.2+/-1.1,pCi/1000M3,7.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-05-26,IODINE-131,<3,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-05-26,GROSS BETA,10.4+/-1.3,pCi/1000M3,10.4,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-05-31,GROSS ALPHA,<1.1,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-05-31,GROSS BETA,<2,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-05-31,TRITIUM (HTO),<140,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-02,IODINE-131,<7,pCi/1000M3,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-06-02,GROSS BETA,2.7+/-1.9,pCi/L,2.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-02,GROSS BETA,16.1+/-1.7,pCi/1000M3,16.1,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-06-02,GROSS ALPHA,<1.6,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-06-02,TRITIUM (HTO),<140,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-09,IODINE-131,<4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-09,GROSS BETA,7.4+/-1.1,pCi/1000M3,7.4,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-16,IODINE-131,<4,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-16,GROSS BETA,3.98+/-0.84,pCi/1000M3,3.98,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-22,IODINE-131,<5.7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-22,GROSS BETA,13.3+/-2,pCi/1000M3,13.2999999999999,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-30,IODINE-131,<0.26,pCi/1000M3,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-06-30,GROSS BETA,2+/-1.5,pCi/L,2,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-06-30,TRITIUM (HTO),<140,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-06-30,GROSS ALPHA,<2.6,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-06-30,GROSS BETA,8.3+/-1.1,pCi/1000M3,8.3,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-07-06,IODINE-131,<2.7,pCi/1000M3,0,7-12-2016 SAMPLE MISSING - LABORATORY ERROR
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-07-06,GROSS BETA,10+/-1.4,pCi/1000M3,10,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-07-06,GROSS BETA,4.4+/-2.7,pCi/L,4.4,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-07-06,TRITIUM (HTO),<120,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-07-06,GROSS ALPHA,<4,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-07-12,GROSS BETA,10.2+/-1.4,pCi/1000M3,10.2,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-07-21,IODINE-131,<3.2,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-07-21,GROSS BETA,8.7+/-1.1,pCi/1000M3,8.7,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-07-28,IODINE-131,<4.1,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-07-28,GROSS BETA,11.3+/-1.4,pCi/1000M3,11.2999999999999,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-07-29,TRITIUM (HTO),<120,pCi/L,0,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-07-29,GROSS BETA,1.4+/-1.5,pCi/L,1.4,
0153-002,WATER,"COLONIE: WATER TREATMENT PLANT; KAPL, MOHAWK VIEW",MONTHLY,2016-07-29,GROSS ALPHA,<0.88,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-08-04,IODINE-131,<0.9,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-08-04,GROSS BETA,8.7+/-1.2,pCi/1000M3,8.7,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-08-04,TRITIUM (HTO),<120,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-08-04,GROSS BETA,<2.5,pCi/L,0,
4561-002,WATER,WEST MILTON: GLOWEGEE CR. AT US 65 GAUGING STATION,MONTHLY,2016-08-04,GROSS ALPHA,<0.013,pCi/L,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-08-11,IODINE-131,<1.7,pCi/1000M3,0,
4561-001,AIR,"WEST MILTON: KESSELRING SITE, ATOMIC PROJECT ROAD",WEEKLY,2016-08-11,GROSS BETA,9.4+/-1.3,pCi/1000M3,9.4,
